username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
kpieper876,14506594,605,181,3.342541436464088,44,40,3043,1,1,1,1,0,0,0,27,0,0,5,5,0,0.0007496043754685027,0.0,,0.00013881562508675978,0.027624309392265192,,5,0,0,138094.705,56088557.0,10
nnesvanova,4691045113,1458,962,1.5155925155925156,30,8091,6019,0,1,1,1,0,0,1,88,0,16,44,472,2,0.0013452366393542864,0.0,0.0012793858947705101,0.0006726183196771432,0.004123062946592359,0.00015992323684631377,139,18,0,18646.94,298751727.0,10
Truth777True,803089839541391360,834,185,4.508108108108108,33,28798,47812,0,0,0,1,0,0,0,0,0,37,0,318536,2,0.0,0.0,0.0064516129032258064,0.0,10.248906048906049,0.0003487358326068003,199,51,0,5095.955,327384913.0,12
thezoewood,2393440218,33007,254,129.9488188976378,191,3055,1668,1,1,0,1,0,0,0,442,0,37,27,2920754,5,0.04046877861197583,0.0,0.00441422094965402,0.0024720747115912836,116.15183329356557,0.0005965163445478406,116,13,16,378881.3542857143,242092730.0,10
grammarbytes,29757641,20553,18462,1.1132596685082874,91,272,3308,1,1,1,1,0,0,0,669,0,4,356,0,1,0.0001877543734981755,,3.095160716220189e-05,9.991114643550146e-05,,7.737901790550473e-06,7,0,0,62209.03,86287462.0,12
SRMediaGroup3,828008214901895168,161,501,0.3213572854291417,8,67,223,0,1,1,1,0,0,0,81,0,0,23,11065,0,0.0008509297195083517,0.0,0.0,0.00024162201911965544,2.7607285429141717,0.0,11,34,0,67416.55,333325916.0,13
PGApparel,1688780562,1004,1899,0.5286993154291733,109,2126,3854,1,0,0,1,0,0,0,6,0,0,0,4,0,1.5877174180539347e-05,0.0,,0.0,0.00210637177461822,,185,0,0,42696.34,224184151.0,9
mubbi_muhammad,844852862379180032,53,45,1.1777777777777778,0,27,5,0,1,0,1,0,0,0,3,0,0,22,12567,0,0.06666666666666667,0.0,,0.4888888888888889,69.81666666666666,,4,0,0,18058272.0,337341993.0,14
chashmiss,141992963,2,1,2.0,11,11903,230014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0,,0.0,14,0,0,5250.542713567839,120501409.0,9
BogeyInTheDark,3105509838,212,1921,0.11035918792295679,2,37028,29229,0,0,0,1,0,0,0,0,0,12,0,115678,0,0.0,0.0,0.00014197151105011592,0.0,0.3935790523045935,0.0,198,16,0,1482.98,274231599.0,14
Keep2020Alive,755808822506041344,52556,42586,1.2341144977222562,22,43855,48838,1,1,0,1,0,0,1,1748,0,54,655,81624,6,0.0002792268929362944,0.0,0.00015850279434555958,0.00010463021445839408,0.04259302744250849,1.7611421593951063e-05,63,122,0,3118.49,316112240.0,13
snurbbotinfo,712749669260984320,129,7,18.428571428571427,9,18,2114,0,0,0,1,0,1,1,168,0,4,166,1,1,0.1218274111675127,0.0,0.2857142857142857,0.12037708484408992,0.14285714285714285,0.07142857142857142,3,3,0,233664.96,305846138.0,12
LeVostreGC,440519278,94300,23743,3.9716969211978266,1364,13041,23476,0,1,0,1,0,0,0,30515,0,596,6889,222630,112,0.012477872885580176,0.0,0.000865590874697007,0.0028169774310588835,0.13789203505181713,0.00016266137242628318,97,18,0,19235.325,171342736.0,10
ersatzarchetype,150436959,10,1,10.0,0,4008,9,0,1,0,1,0,0,1,0,0,0,0,2510,0,,0.0,,,1255.0,,2,0,0,21681565.5,122425747.0,15
jacobesolorio,1124167796,266,147,1.8095238095238095,7,41411,47227,1,1,1,1,0,0,0,0,0,5,0,4594457,0,,0.0,0.017006802721088437,,161.10726558664703,0.0,196,71,0,1806.5714285714287,206346451.0,13
Life_Is_Fish,385144056,1860,2334,0.7969151670951157,4,145047,78360,0,1,0,1,0,0,0,0,0,157,0,562648,5,,0.0,0.0018180133861367793,,1.4789323996824746,5.789851548206304e-05,200,44,0,3831.375,164849499.0,12
chattyexpat,1444989344,2089,2307,0.905504984828782,10,20627,31533,1,1,0,1,0,0,0,36,0,180,19,72577,34,0.0009752925877763329,0.0,0.0006966375626973807,0.0005147377546597312,0.43693709964841304,0.0001315870951761719,184,19,0,870.115,216169845.0,11
SeriousPlayCh,840202676407271424,11,64,0.171875,2,8,64,0,1,1,1,0,0,0,8,0,0,1,274,0,0.0026595744680851063,0.0,,0.0003324468085106383,0.25183823529411764,,30,3,0,472366.21875,336233303.0,13
PfannKPolizei,724211954651389954,250,1,250.0,16,18,303473,0,1,1,1,0,0,0,50,0,17,19,0,2,0.25252525252525254,,8.5,0.09595959595959595,,1.0,2,199,0,197029.975,308578959.0,13
beatmaster80,65495011,96,680,0.1411764705882353,3,19,32,0,0,0,1,0,0,0,22,0,2,6,0,0,0.0014066496163682865,,0.000326797385620915,0.0003836317135549872,,0.0,28,4,0,6634339.65625,97283101.0,12
wkfd,26087034,3865,8,483.125,88,152,12994,1,1,1,1,0,0,0,212,0,36,45,174,0,0.165625,0.0,0.18,0.03515625,1.45,0.0,48,8,62,344307.39,84919860.0,4
sextsbot,723578732917719040,27219,0,,332,0,81772,0,0,0,1,0,1,1,5292,0,29,1535,0,2,,,,,,,19,0,0,3276.545,308427988.0,8
IMayTalkStuff,1141753736,25,18,1.3888888888888888,1,0,41271,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0002777777777777778,,,0.0,,,0,0,0,8174.06,206867911.0,13
Teddysmom1,821562262976602114,1970,2786,0.7071069633883704,7,87045,81480,0,1,0,1,0,0,0,0,0,18,1,491867,2,0.0,0.0,0.0002307455645574813,0.0003589375448671931,1.0385266669481863,2.5638396061942365e-05,198,38,0,697.4773869346734,331789082.0,10
MichaelGreens12,837344043021570049,3252,4997,0.6507904742845707,1,56946,41016,1,1,0,1,0,0,0,6,0,58,1,241778,7,0.0001334133813621506,0.0,0.00030544642575018697,2.2235563560358437e-05,0.31831993933202024,3.686422379743636e-05,190,20,46,1829.8291457286432,335551751.0,15
raphaelha67,770023328442621952,1376,38,36.21052631578947,15,131738,313665,0,0,0,1,0,0,0,0,0,25,0,340522,0,,0.0,0.02860411899313501,,50.62771335117454,0.0,200,34,0,747.045,319501242.0,11
the__waves,2169696944,1215,0,,37,0,4092,0,0,0,1,0,0,0,1021,0,0,214,0,0,,,,,,,0,0,0,62621.99,230452242.0,10
UnkaTunak,2168606552,1,120,0.008333333333333333,0,125,16,0,0,0,1,0,0,0,1,0,10,0,0,0,0.0020833333333333333,,0.007575757575757575,0.0,,0.0,14,1,0,2570960.8666666667,230397278.0,9
PeteytheChi,367299572,876,971,0.90216271884655,1,63539,11710,0,1,0,1,0,0,0,1,0,239,0,2946,17,0.0010298661174047373,0.0,0.0012431212225239002,0.0,3.033985581874356,8.842284846404311e-05,199,1,0,6037.31,162154109.0,11
NoahSteinTech,791003590576005120,67,206,0.32524271844660196,0,450,91,0,1,1,1,0,0,0,9,0,7,0,149743,1,0.0024271844660194173,0.0,0.0033980582524271844,0.0,11.538218523655416,0.00048543689320388353,79,16,0,1067727.934065934,324503326.0,13
nargan,24891334,72,658,0.1094224924012158,2,4830,1366,1,1,0,1,0,0,0,9,0,53,1,2236118,1,0.00037993920972644377,0.0,0.00223741979061128,4.221546774738264e-05,27.18684498480243,4.221546774738264e-05,177,51,0,331996.8781725888,84379491.0,6
Eduardo_Barbudo,2499615932,1011,1742,0.5803673938002296,27,8753,12833,0,1,0,1,0,0,0,226,0,107,94,14351,7,0.002543841876589901,0.0,0.0006534430954881892,0.0010580581256612862,0.14978603486066172,4.274861372352639e-05,125,36,0,12588.025,247345643.0,15
infinite_scream,3887467873,78541,1,78541.0,636,40,318252,0,1,1,1,0,0,0,2720,0,232,547,0,3,19.71014492753623,,3.7419354838709675,3.963768115942029,,0.04838709677419355,62,0,0,473.395,291871385.0,15
Todd_Scheve,282275320,56561,58997,0.9587097649033002,583,86317,99474,1,1,0,1,0,0,0,135,0,16,76,268065,2,0.00015255012966761022,0.0,2.7120023052019594e-05,8.588007299806205e-05,0.025964032069427257,3.3900028815024493e-06,188,6,0,1147.235,149897801.0,11
mannteufel,59790649,2938,2296,1.279616724738676,161,1116,2989,0,1,1,1,1,0,0,358,0,18,165,1523,0,0.0012087081003700404,0.0,0.0004899825783972125,0.0005570861356454097,0.012060500475134621,0.0,85,48,0,236668.065,95522780.0,10
IvandariasA,1358892625,895,2572,0.3479782270606532,97,8448,41357,1,1,1,1,0,0,0,3,0,1,0,127995,0,0.00012960082944530845,0.0,0.00019440124416796267,0.0,0.26330568515638497,0.0,195,16,0,3903.405,213264555.0,11
clayadavis,1548959833,277,180,1.538888888888889,15,72,462,0,1,1,1,0,0,1,72,0,50,10,60724,7,0.005333333333333333,0.0,0.003052503052503053,0.0007407407407407407,9.922222222222222,0.00042735042735042735,124,15,0,591421.625,219353699.0,10
drsamonline,425941314,16999,15551,1.0931129830879043,28,4988,55852,1,1,1,1,0,0,0,8,0,0,0,70204,0,3.0621212538774107e-06,0.0,0.0,0.0,0.1456269796984324,0.0,50,2,3,16838.24,169836514.0,11
BenSerrette,285736802,109,30,3.6333333333333333,11,1,2193,0,1,1,1,0,0,0,15,0,0,6,14615,0,0.0029940119760479044,0.0,0.0,0.0011976047904191617,487.1666666666667,0.0,79,0,0,485516.67,150487030.0,11
notimetobehere,863313000714956800,1634,2924,0.5588235294117647,27,120320,55436,0,0,1,1,0,0,0,7,0,134,3,728998,0,0.0007979936160510717,0.0,0.0008486598773876475,0.0003419972640218878,1.7681937693434624,0.0,195,27,0,2327.4848484848485,341743233.0,14
WalzForCongress,4701480262,1448,599,2.4173622704507514,28,1366,1512,0,1,1,1,0,0,0,846,0,306,440,21530,220,0.02076991063537268,0.0,0.004730105731775181,0.010802317588137092,1.4976349471341124,0.0034007296110801955,136,25,0,14570.37,298959528.0,15
kentbrew,2622731,3669,4973,0.7377840337824251,208,12632,30903,1,1,1,1,0,0,0,124,0,83,12,600125,16,0.00038960386084858234,0.0,0.0003477109725852939,3.7703599436959584e-05,1.4032169061770772,6.702862122126148e-05,137,61,0,10315.68686868687,22140093.0,8
CoxTH,245029990,29,249,0.11646586345381527,0,1332,1992,0,1,0,1,0,0,0,19,0,138,1,907633,3,0.006358768406961177,0.0,0.008032128514056224,0.00033467202141900936,30.89078347287455,0.00017461148943600488,189,13,0,92973.43216080402,143490131.0,5
RonPlacone,24950207,30802,826,37.29055690072639,313,17379,28018,0,1,1,1,0,0,0,19564,0,894,3252,42923,39,0.17808443627227877,0.0,0.028482222505416082,0.02960184966047079,1.7918927945228356,0.001242513062316809,108,22,0,5029.87,84400912.0,10
Jetleo1,439275135,89,423,0.21040189125295508,0,31936,54448,0,1,1,1,0,0,0,1,0,22,0,372857,0,0.00015760441292356187,0.0,0.0034672970843183607,0.0,5.185050757891809,0.0,185,1,0,1166.185,171214830.0,7
Peston,14157134,1038864,1388,748.4610951008646,8575,124,25443,0,0,1,1,1,0,0,83237,0,13744,24599,7312,3321,0.7313295143037886,0.0,0.2062920268972142,0.2161295424193435,0.07525730753396459,0.04984690201729106,110,25,0,13422.005,52746109.0,6
charlesgoyette,244328801,51428,48126,1.0686115613182063,16,17587,9436,1,1,0,1,0,0,0,3206,0,278,849,1380321,37,0.0007240956257938853,0.0,0.0001991897705305183,0.0001917520855580189,0.36305568136805444,2.6510868739673303e-05,125,23,0,36271.49,143345688.0,14
mazurd99,836648494161088512,2,68,0.029411764705882353,0,35,15,0,1,1,1,0,0,0,0,0,0,0,1355,0,0.0,0.0,0.0,0.0,9.963235294117647,0.0,13,1,0,1179609.4666666666,335385920.0,8
FarkThatGuy,914827333424615424,23,154,0.14935064935064934,0,3964,998,0,0,0,1,0,0,0,12,0,49,5,1245571,3,0.0015902464882056719,0.0,0.0085995085995086,0.0006626027034190299,72.86597636597637,0.0005265005265005265,144,58,0,99192.94923857869,354025207.0,11
VConfido,4570382841,24,129,0.18604651162790697,0,2018,2321,0,0,0,0,0,0,0,0,0,118,0,1246743,7,,0.0,0.005543810194972986,,276.1335548172757,0.0003288700963119568,200,4,0,31129.67,297888049.0,8
BrnLng,15184649,662,4991,0.1326387497495492,12,9268,1315,1,1,1,1,0,0,0,63,0,53,10,352123,1,0.0001753155680224404,0.0,0.00015849424486463694,2.7827867940069906e-05,1.259849872627873,2.9904574502761688e-06,153,20,0,550440.7948717949,61076193.0,6
JonMLevine,120499199,19828,3209,6.178871922717358,218,2957,10724,1,1,1,1,0,0,0,249,0,36,142,77899,2,0.0005582321304066127,0.0,0.0004154980783213877,0.0003183492470591928,0.735611018253586,2.308322657341043e-05,122,25,0,21256.281407035174,114971310.0,10
HessJonas,306201973,89,165,0.5393939393939394,8,1400,408,0,1,0,1,0,0,0,30,0,155,8,69431,7,0.00909090909090909,0.0,0.010210803689064558,0.0024242424242424242,4.7817493112947655,0.00046113306982872203,189,7,0,154616.275,153581377.0,9
KitZander66,838908851973984256,4838,4914,0.9845339845339846,7,1836,9629,0,1,1,1,0,0,0,34,0,85,13,8597,28,0.000187000187000187,0.0,0.0001281297577593874,7.15000715000715e-05,0.06248183033897319,4.220744961485702e-05,170,15,0,131366.575,335924831.0,11
scamptres1,698249714391785474,4680,4022,1.163600198906017,4,49882,57235,0,0,0,1,0,0,0,5,0,95,6,70231,15,0.0004143875352229405,0.0,0.00013497194004404345,0.0004972650422675286,0.7937141178066092,2.1311358954322656e-05,200,5,0,2402.945,302389079.0,10
HisTheShit,919122482,27789,27294,1.0181358540338536,303,13658,2733,0,1,1,1,0,0,0,905,0,3,351,0,0,0.00017003831028891483,,2.198285337436799e-05,6.594856012310399e-05,,0.0,9,1,0,162731.49,198858307.0,10
JohnEvansTW1,526833016,178,343,0.5189504373177842,4,21402,22400,1,1,1,1,0,0,0,14,0,69,5,295486,0,0.0011031439602868175,0.0,0.0024236889247953915,0.00039397998581672055,10.904749603277114,0.0,173,35,0,3531.2060301507536,179013493.0,12
blizzardbing,1590060588,247,67,3.6865671641791047,1,7882,12860,0,0,1,1,0,0,0,3,0,6,13,59624,0,0.0005330490405117271,0.0,0.001279317697228145,0.0023098791755508173,25.426012793176973,0.0,133,8,0,287365.41798941797,220766034.0,12
goodfellow_ian,775449094739197953,174091,1081,161.04625346901017,2580,6247,2694,0,1,1,1,0,0,0,13671,0,3376,2101,21360,151,0.46839346284304656,0.0,0.02539052217534201,0.07198410251139205,0.3951896392229417,0.0011356542797620389,170,30,0,122126.24,320794846.0,14
BrundageBot,917891221397426176,3784,2,1892.0,87,0,29058,0,0,1,1,0,1,0,0,0,74,0,0,28,0.0,,0.18686868686868688,0.0,,0.0707070707070707,0,0,0,1728.32,354755695.0,11
mollyeroberts,157466475,4127,1758,2.3475540386803186,0,160,179,0,0,1,1,0,0,0,1371,0,28,578,1793,3,0.010128097158813883,0.0,0.0006125842303316706,0.004269905293796079,0.013419855098497096,6.563402467839328e-05,140,9,0,1358812.7430167599,124065370.0,13
alperatx,9537192,953,2057,0.4632960622265435,58,3595,803,0,1,1,1,0,0,0,175,0,62,46,29476,5,0.0010907096468593795,0.0,0.0004941144592236028,0.00028670082146017975,0.23882677037757252,3.984794025996796e-05,114,80,0,9858.708542713568,39855889.0,8
SpaceJamBot,3088050110,381,0,,0,8,23,0,0,0,1,0,1,1,2,0,5,1,0,1,,,,,,,16,0,0,2841640.8695652173,273563701.0,11
CJRubinPhoto,796216118331310080,882,892,0.9887892376681614,6,545,252,0,1,1,1,0,0,1,717,0,2,80,5844,0,0.006588620157318238,0.0,0.00032030749519538755,0.0007351319561861353,0.09495028270618054,0.0,87,3,0,92534.93434343435,325746090.0,12
alxeags,65810061,459,716,0.6410614525139665,2,24819,6597,0,1,0,1,0,0,0,687,0,118,9,64161,4,0.00896726361405524,0.0,0.002354349561053472,0.00011747506917976296,4.267158818834797,7.980845969672785e-05,83,35,0,90691.23232323233,97384098.0,7
ElleFilles,114924435,144,191,0.7539267015706806,7,3690,26619,1,1,0,0,0,0,0,57,0,46,12,44477,1,0.0027378836639608047,0.0,0.0028333846627656297,0.0005763965608338537,38.810645724258286,6.159531875577457e-05,132,4,0,159023.615,113450247.0,10
snittyandboring,246534469,172,911,0.18880351262349068,1,33419,7592,0,1,1,1,0,0,0,11,0,125,1,1269503,3,0.0005488474204171241,0.0,0.003049152335650689,4.989522003792037e-05,10.719437642489234,7.317965605561654e-05,176,28,0,10777.02538071066,143768527.0,15
TechUnchecked,3389810596,79,566,0.13957597173144876,0,1058,26,0,1,1,0,0,0,0,1,0,249,0,84,8,0.0008833922261484099,0.0,0.019127362113996006,0.0,0.14840989399293286,0.0006145337225380242,24,0,0,2661913.230769231,284756270.0,13
GinaMar13390404,720338157733068800,224,485,0.4618556701030928,9,14107,35563,1,1,0,1,0,0,0,11,0,3,5,345589,0,0.00020071161390384089,0.0,0.0004758128469468676,9.123255177447313e-05,9.89659221076747,0.0,87,5,0,45718.77272727273,307655374.0,15
more_matters,4188418157,1677,468,3.5833333333333335,29,14630,13635,0,1,0,1,0,0,0,222,0,43,114,238,6,0.00616050616050616,0.0,0.0023559062020600484,0.0031635031635031635,0.006054131054131055,0.0003287310979618672,145,18,0,15329.425,294606366.0,12
aaaadriaaaan,280961704,2338,1330,1.7578947368421052,22,12068,21942,1,1,1,1,0,0,0,310,0,92,376,32030,49,0.004482359745517641,0.0,0.0012352309344790548,0.005436668594563331,0.2617685518143184,0.0006578947368421052,149,51,0,10157.21,149684109.0,12
feliam,26401102,1164,533,2.1838649155722325,36,649,741,0,1,0,0,0,0,0,216,0,112,88,4297,5,0.011578665237201823,0.0,0.0025317027961753204,0.0047172339855266684,0.098316020683659,0.00011302244625782681,164,19,0,537044.555,85025603.0,6
alessandrogario,214414277,132,133,0.9924812030075187,6,384,540,0,1,1,1,0,0,0,179,0,12,58,17881,0,0.13458646616541353,0.0,0.012889366272824918,0.04360902255639098,0.7387011484755845,0.0,189,5,0,440612.2412060301,136550301.0,15
PoCorGTFOBot,923599748912775168,291,94,3.095744680851064,5,1,149,0,1,1,1,0,1,0,450,0,0,175,58,0,0.03278927426406295,0.0,,0.012751384436024481,0.20567375886524822,,4,3,0,487800.04697986576,356116714.0,12
Coagmano,7904622,814,3483,0.23370657479184612,15,70520,1486,0,1,0,1,0,0,0,29,0,154,2,286256,11,0.0003330462245190927,0.0,0.0006407935854065502,2.2968705139247774e-05,0.7979283565947222,4.577097038618216e-05,169,33,0,72892.79187817259,33129366.0,8
spreadsheeticus,15598083,1182,1080,1.0944444444444446,6,139184,41575,0,1,0,1,0,0,0,139,0,259,11,3945,10,0.007570806100217865,0.0,0.0013862128023977736,0.0005991285403050109,0.36527777777777776,5.352172982230786e-05,179,14,0,430.285,64072931.0,15
NPollard78,700980756,77,306,0.25163398692810457,2,14982,4735,0,1,0,1,0,0,0,1,0,25,0,1810204,0,0.00029708853238265005,0.0,0.003552145495879511,0.0,36.97312091503268,0.0,184,47,0,61831.02577319588,189607071.0,10
justinlamour,45421555,6,181,0.03314917127071823,0,5303,99,0,0,0,0,0,0,0,4,0,40,1,10348,9,0.0018416206261510127,0.0,0.002569703199280483,0.0004604051565377532,57.171270718232044,0.0005781832198381088,97,2,0,977404.2323232323,91486544.0,12
MikeSmi66563284,854280715520933888,42,2139,0.019635343618513323,0,21,11,0,0,0,0,0,0,0,4,0,1,1,608,0,0.0006233442418575658,0.0,0.0001168770453482936,0.00015583606046439146,0.07106124357176251,0.0,7,0,0,4882089.454545454,339589769.0,15
DeplorableMdub,17168396,275,1493,0.1841929002009377,1,195,225,0,0,0,0,0,0,0,23,0,0,3,167822,0,0.0002265474173594421,0.0,0.0,2.9549663133840277e-05,1.3708035874732492,0.0,114,21,0,1121054.793939394,72910391.0,14
